A,Right,Left
0,-0.7197782725557986,0.33493925427178856
0,-0.6117576045765736,0.34193001867543377
0,-0.30407643348691615,0.5853981833073438
0,-0.022919325579569716,0.4877959399534287
0,0.08839369358731397,0.15913921013587812
0,-0.08777899840006353,0.03834048151354258
0,-0.2805043765110711,0.10099155814984584
0,-0.536939453977856,-0.1316399113115051
0,-0.46337991597963035,-0.14685286687740962
0,-0.48094903352687735,0.04953918750363029
0,-0.6817610274725174,0.22214222279868492
0,-0.7689491232956109,0.3785739994736641
0,-0.7781236912227463,0.6350692587285581
0,-0.6343708952304012,0.7192178900151727
0,-0.4392546181717182,0.9285188732218226
0,-0.5319135195516786,0.9565880499669942
0,-0.0191152764252569,0.652500755952172
0,-0.3615079247350691,0.5770266198945619
0,-0.4736760854944494,1.0267541776103801
0,-0.28762389396826804,0.62288078464127
0,-0.07579960421093901,0.4784595172751802
0,0.061687739383624374,0.35383803567428024
0,0.12412941950529732,0.25322652278382063
0,0.31543372297795963,0.7494888576705396
0,0.14765120848870128,1.025383318193462
0,-0.33946997012216795,0.9841351377316815
0,-1.2693218087495994,0.4606054704428076
0,-1.330984728298526,0.14913190948942612
0,-0.7294861955106329,0.6012354484558781
0,-0.2564488603349425,0.6067731659377817
0,0.407237011302034,0.580676512498484
0,0.37802265357915965,0.6494380815868555
0,0.8341319084026187,0.3685479600571836
0,1.0144513611015555,0.1231700943776195
0,0.9731674291436567,0.40599541123460825
0,0.6684872610949621,0.29045379459979503
0,0.4255687154745356,1.0064193061174966
0,-0.060731225791903154,0.919975937526885
0,-0.3271930215526706,0.923846857353574
0,-0.026098514147919027,1.1322516064210582
0,-0.14719628179485034,1.3381625407602546
0,-0.4557228093966945,1.117805553590889
0,-0.2731782630890174,0.7090965412440062
0,-0.16009494171737093,0.6930440873558172
0,-0.33232986382548513,0.7437760124621822
0,-0.2981431191140007,0.665515310391091
0,0.10515702269196003,0.5306339577980134
0,0.2809483658892904,-0.16239692003135853
0,-0.15764776187243879,-0.1123788608395434
0,-0.9142065108730597,0.637820833382794
0,-0.7268484995788331,0.8572108124885862
0,-0.6465903225626641,0.9546417610072562
0,-0.5069907780663451,0.8648541007628407
0,-0.30421381611779075,1.0835987324634546
0,0.19123235131903432,0.2313487454447924
